id,nom,type,cuisine,origine,temps_preparation,temps_cuisson,nb_personnes,nombre_etapes,instructions,methodes_cuisson,ustensiles,image_path,calories,valeur_nutritionnelle,empreinte_carbone
2806,Soupe espagnole à l'ail du chef John (Sopa de Ajo),['Soupe'],['Espagnol'],Europe,15.0,30.0,4,6,"Préchauffez le four à 175 °C (thermostat 6). Recouvrez une plaque de cuisson de papier aluminium. Étalez le pain français sur la plaque préparée et arrosez-le d'une cuillère à soupe d'huile d'olive. Mélangez délicatement pour bien enrober le pain. Enfournez dans le four préchauffé jusqu'à ce que le pain soit croustillant et légèrement doré, pendant 15 à 20 minutes. Faites chauffer 60 ml d'huile d'olive dans une cocotte à fond épais à feu moyen. Faites revenir l'ail dans l'huile chaude en remuant jusqu'à ce qu'il soit doré, pendant 1 à 2 minutes. Ajoutez le jambon et faites-le cuire en remuant jusqu'à ce qu'il soit chaud, environ 1 minute. Ajoutez 1 à 2 cuillères à café de paprika et poursuivez la cuisson pendant 1 minute. Versez le pain dans la cocotte et mélangez pour bien l'enrober du mélange d'huile chaude. Versez le bouillon de poulet sur le pain, ajoutez le poivre de Cayenne, le sel et le poivre noir, puis mélangez. Portez à ébullition, baissez le feu à moyen et incorporez le persil. Cassez chaque œuf dans un petit bol ou une tasse. À l'aide d'une cuillère, formez quatre creux dans le pain, sur la soupe. Versez lentement un œuf dans chaque creux. Déposez un œuf dans chaque alvéole. Couvrez la casserole et laissez cuire jusqu'à ce que les blancs soient fermes et les jaunes épais mais encore coulants, environ 2 à 3 minutes. Versez la soupe dans des bols et déposez un œuf par-dessus.","['bouillir', 'cuire au four', 'réduire']","['plaque de cuisson', 'louche', 'four', 'casserole']",https://www.allrecipes.com/recipe/237498/chef-johns-spanish-garlic-soup-sopa-de-ajo/,447 kcal,"""{""""Carbohydrates"""": """"34 g"""", """"Cholesterol"""": """"201 mg"""", """"Fiber"""": """"2 g"""", """"Protein"""": """"17 g"""", """"Saturated Fat"""": """"5 g"""", """"Sodium"""": """"2073 mg"""", """"Sugar"""": """"3 g"""", """"Fat"""": """"27 g"""", """"Unsaturated Fat"""": """"0 g""""}""",50.73
2807,Syrniki,['Petit-déjeuner'],['Russe'],Europe,30.0,20.0,8,4,"Égouttez le fromage blanc ou passez-le au tamis ou au hachoir à viande jusqu'à obtenir une consistance poudreuse. Dans un bol, mélangez le fromage blanc, 150 g de farine, le sucre, les raisins secs, les œufs, le bicarbonate de soude, l'extrait de vanille et le sel jusqu'à obtenir une pâte homogène. Versez 60 g de farine dans un petit bol. Formez des boules de pâte (environ 2 cuillères à soupe par portion) et roulez-les dans la farine jusqu'à ce qu'elles soient bien enrobées. Aplatissez chaque boule en une galette de 5 cm de diamètre environ, en égalisant les bords. Faites chauffer environ 20 g d'huile dans une poêle à feu moyen-doux. Faites frire les galettes par petites quantités dans l'huile chaude jusqu'à ce qu'elles soient bien dorées et qu'une croûte se soit formée, 3 à 4 minutes de chaque côté. Déposez-les sur une assiette recouverte de papier absorbant. Répétez l'opération avec le reste d'huile et de galettes.",['frire'],['poêlon'],https://www.allrecipes.com/recipe/236546/syrniki/,339 kcal,"""{""""Carbohydrates"""": """"23 g"""", """"Cholesterol"""": """"87 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"17 g"""", """"Saturated Fat"""": """"2 g"""", """"Sodium"""": """"220 mg"""", """"Sugar"""": """"11 g"""", """"Fat"""": """"20 g"""", """"Unsaturated Fat"""": """"0 g""""}""",10.31
2808,Escargots et colin sur nouilles aux épinards,['Dîner'],['Européen'],Europe,10.0,10.0,4,3,"Portez à ébullition une grande casserole d'eau légèrement salée. Ajoutez les spaghettis et faites-les cuire jusqu'à ce qu'ils soient tendres, environ 7 minutes. Égouttez-les, incorporez une cuillère à soupe de beurre et réservez. Faites fondre une cuillère à soupe de beurre dans une poêle à feu moyen. Ajoutez l'oignon et l'ail et faites-les revenir jusqu'à ce qu'ils soient légèrement dorés. Déposez les filets de lieu noir dans la poêle et faites-les dorer de chaque côté, environ 5 minutes. Lorsqu'ils commencent à être cuits, émiettez-les à l'aide d'une fourchette ou d'une spatule. Ajoutez le reste du beurre dans la poêle et incorporez les escargots. Faites cuire en remuant pendant environ 4 minutes. Les escargots cuisent rapidement comme les crevettes, soyez donc vigilant. Retirez du feu et assaisonnez de persil, d'origan et de basilic. Parsemez de parmesan râpé.",['bouillir'],"['spatule', 'pot', 'poêle']",https://www.allrecipes.com/recipe/82434/escargot-and-pollock-over-spinach-noodles/,972 kcal,"""{""""Carbohydrates"""": """"95 g"""", """"Cholesterol"""": """"288 mg"""", """"Fiber"""": """"13 g"""", """"Protein"""": """"81 g"""", """"Saturated Fat"""": """"16 g"""", """"Sodium"""": """"673 mg"""", """"Sugar"""": """"8 g"""", """"Fat"""": """"29 g"""", """"Unsaturated Fat"""": """"0 g""""}""",28.78
2809,Escalope viennoise,['Dîner'],"['Autrichien', 'Allemand']",Europe,20.0,15.0,6,5,"Chauffez l'huile dans une friteuse à 175 °C (350 °F). Placez les filets sur une surface plane et solide et aplatissez-les à l'aide d'un maillet à viande (côté lisse) jusqu'à ce qu'ils aient une épaisseur de 3 à 6 mm (1/8 à 1/4 de pouce). Versez la chapelure et la farine dans deux assiettes creuses séparées. Battez légèrement les œufs dans une troisième assiette creuse. Ajoutez le lait et assaisonnez légèrement de sel et de poivre noir. Enrobez les filets de farine en les tapotant légèrement avec la main. Trempez-les ensuite dans le mélange d'œufs, en les maintenant avec une fourchette pour égoutter l'excédent. Enrobez-les de chapelure des deux côtés. Disposez les filets panés, sans les empiler, sur une assiette. Faites frire les filets jusqu'à ce qu'ils soient bien dorés.",['frire'],['maillet'],https://www.allrecipes.com/recipe/21427/vienna-schnitzel/,542 kcal,"""{""""Carbohydrates"""": """"45 g"""", """"Cholesterol"""": """"131 mg"""", """"Fiber"""": """"2 g"""", """"Protein"""": """"32 g"""", """"Saturated Fat"""": """"5 g"""", """"Sodium"""": """"333 mg"""", """"Sugar"""": """"3 g"""", """"Fat"""": """"25 g"""", """"Unsaturated Fat"""": """"0 g""""}""",15.36
2810,Bœuf Stroganoff sans jaune d'œuf,['Dîner'],['Europe de l'Est'],Europe,15.0,20.0,4,4,"Préparez les nouilles selon les instructions sur l'emballage. Faites chauffer l'huile dans une grande poêle antiadhésive. Ajoutez les champignons, l'oignon et l'ail. Faites cuire à feu moyen, en remuant fréquemment, pendant 5 minutes ou jusqu'à ce que les légumes soient tendres. Retirez du feu (inutile de laver la poêle). Mélangez les lanières de bœuf, 2 cuillères à soupe de farine, le sel et le poivre dans un sac en plastique. Secouez bien pour enrober légèrement le bœuf. Faites fondre le beurre dans la poêle. Ajoutez les lanières de bœuf, la moitié à la fois si nécessaire pour éviter de surcharger la poêle. Faites dorer de chaque côté, environ 2 minutes par côté à feu moyen. Retirez du feu lorsqu'elles sont bien dorées. Versez le bouillon de bœuf dans la poêle en décollant les sucs de cuisson. Baissez le feu. Mélangez la crème fraîche, la pâte de tomates, le paprika et la cuillère à soupe de farine restante dans un bol moyen. Versez environ 125 ml de bouillon chaud dans le mélange à la crème fraîche. Remuez bien. Reversez le mélange à la crème fraîche dans la poêle. Faites cuire à feu doux, en remuant constamment, jusqu'à ce que le mélange soit lisse et légèrement épaissi (la crème fraîche peut se séparer, mais elle finira par se mélanger). Laissez mijoter jusqu'à ce que la sauce épaississe. Incorporez le mélange de champignons réservé et le bœuf, puis réchauffez le tout pendant environ 5 minutes. Servez sur des nouilles. Garnissez de persil haché.",['réduire'],['poêlon'],https://www.allrecipes.com/recipe/239900/no-yolks-beef-stroganoff/,429 kcal,"""{""""Carbohydrates"""": """"42 g"""", """"Cholesterol"""": """"52 mg"""", """"Fiber"""": """"4 g"""", """"Protein"""": """"24 g"""", """"Saturated Fat"""": """"8 g"""", """"Sodium"""": """"516 mg"""", """"Sugar"""": """"2 g"""", """"Fat"""": """"18 g"""", """"Unsaturated Fat"""": """"0 g""""}""",42.94
2811,Côtes levées suédoises,['Dîner'],['Suédois'],Europe,15.0,105.0,6,3,"Mélangez le sucre, le quatre-épices, le sel et le poivre dans un petit bol jusqu'à obtenir une préparation homogène. Saupoudrez ce mélange sur chaque côte. Faites fondre le beurre dans une grande poêle à feu moyen-vif, en veillant à ne pas le brûler. Faites dorer les côtes de tous les côtés dans le beurre chaud. Versez le bouillon de bœuf, couvrez et baissez le feu. Laissez mijoter jusqu'à ce que les côtes soient tendres, environ 1 heure et 30 minutes. Ne retirez pas le couvercle de la poêle pendant la cuisson.","['mijoter', 'réduire']",['poêlon'],https://www.allrecipes.com/recipe/58921/swedish-spareribs/,379 kcal,"""{""""Carbohydrates"""": """"6 g"""", """"Cholesterol"""": """"132 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"30 g"""", """"Saturated Fat"""": """"11 g"""", """"Sodium"""": """"1089 mg"""", """"Sugar"""": """"4 g"""", """"Fat"""": """"26 g"""", """"Unsaturated Fat"""": """"0 g""""}""",11.77
2812,Chou du patrimoine irlandais,['Accompagnement'],['Irlandais'],Europe,5.0,20.0,4,5,"Mettez le chou dans une grande casserole. Ajoutez de l'eau et portez à ébullition. Laissez mijoter à feu doux jusqu'à ce qu'il soit tendre, environ 10 à 15 minutes. Pendant ce temps, faites cuire le bacon dans une grande poêle à feu moyen-vif, en le retournant de temps en temps, jusqu'à ce qu'il soit bien doré, environ 8 minutes. Égouttez les tranches de bacon sur du papier absorbant, émiettez-les et réservez. Placez une grille à environ 15 cm de la source de chaleur et préchauffez le gril du four. Égouttez le chou et transférez-le dans un plat allant au four. Arrosez de beurre fondu et parsemez de bacon émietté et de noix de muscade. Faites cuire sous le gril préchauffé jusqu'à ce que le dessus soit légèrement doré, environ 5 minutes. Servez avec du sel, du poivre et du vinaigre selon votre goût.","['bouillir', 'mijoter']","['four', 'casserole', 'poêle', 'plat à four']",https://www.allrecipes.com/recipe/54728/irish-heritage-cabbage/,98 kcal,"""{""""Carbohydrates"""": """"3 g"""", """"Cholesterol"""": """"21 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"3 g"""", """"Saturated Fat"""": """"5 g"""", """"Sodium"""": """"227 mg"""", """"Sugar"""": """"1 g"""", """"Fat"""": """"8 g"""", """"Unsaturated Fat"""": """"0 g""""}""",22.67
2813,Pelmeni russes,"['Dîner', 'Entrée']",['Russe'],Europe,60.0,20.0,12,5,"Préparation de la pâte : Mélangez l’œuf, l’huile et le sel dans un verre doseur. Ajoutez suffisamment d’eau tiède pour compléter à 250 ml (1 tasse). Versez dans un grand bol et incorporez 375 g (3 tasses) de farine en pétrissant jusqu’à obtenir une pâte lisse et élastique. Couvrez d’un torchon et laissez reposer 30 minutes. Pendant ce temps, préparez la farce : Mélangez le bœuf haché, l’oignon, l’eau, le sel et le poivre dans un bol moyen. Mélangez bien à la main ou à la fourchette. Réservez. Farinez légèrement une plaque de cuisson avec 1 cuillère à soupe de farine et réservez. Étalez une portion de pâte très finement sur une surface légèrement farinée. Couvrez le reste de la pâte avec un torchon pour éviter qu’elle ne sèche. Découpez des cercles de 6 cm (2 1/2 pouces) de diamètre à l’aide d’un emporte-pièce. Déposez environ 1 cuillère à café de farce sur une moitié de chaque cercle de pâte. Repliez la pâte et soudez les bords avec vos doigts pour former un croissant. Joignez les extrémités et pincez-les ensemble. Déposez sur la plaque de cuisson préparée. Répétez l’opération avec le reste de pâte et de farce. Placez les pelmenis au congélateur pendant 30 minutes pour éviter qu’ils ne collent. Porter à frémissement de l'eau légèrement salée. Par petites quantités, cuire les pelmenis surgelés dans l'eau frémissante jusqu'à ce que la viande soit bien cuite et que les pelmenis remontent à la surface, environ 5 minutes. Poursuivre la cuisson pendant 5 minutes supplémentaires. Transférer dans des assiettes de service à l'aide d'une écumoire.",['mijoter'],"['plaque de cuisson', 'casserole', 'verre à mesurer']",https://www.allrecipes.com/recipe/259977/russian-pelmeni/,212 kcal,"""{""""Carbohydrates"""": """"25 g"""", """"Cholesterol"""": """"41 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"11 g"""", """"Saturated Fat"""": """"3 g"""", """"Sodium"""": """"800 mg"""", """"Sugar"""": """"0 g"""", """"Fat"""": """"7 g"""", """"Unsaturated Fat"""": """"0 g""""}""",505.84
2814,Tarte aux pommes suédoise facile,['Dessert'],"['États Unis', 'Scandinave']",Europe,20.0,40.0,8,4,"Préchauffez le four à 175 °C (350 °F). Mélangez les pommes avec 1 cuillère à soupe de sucre et versez-les dans un plat à tarte. Mélangez soigneusement 1 tasse de sucre avec la farine, le beurre, l'œuf et la cannelle. Étalez ce mélange uniformément sur la tarte. Faites cuire au four préchauffé jusqu'à ce que les pommes soient cuites et que la garniture soit dorée, soit pendant 40 à 45 minutes.",['cuire'],['four'],https://www.allrecipes.com/recipe/54628/easy-swedish-apple-pie/,359 kcal,"""{""""Carbohydrates"""": """"49 g"""", """"Cholesterol"""": """"69 mg"""", """"Fiber"""": """"2 g"""", """"Protein"""": """"3 g"""", """"Saturated Fat"""": """"11 g"""", """"Sodium"""": """"133 mg"""", """"Sugar"""": """"35 g"""", """"Fat"""": """"18 g"""", """"Unsaturated Fat"""": """"0 g""""}""",10.36
2815,Kugel de nouilles sucrées,['Dessert'],"['Juif', 'Européen de l'Est']",Europe,10.0,50.0,8,4,"Rassemblez les ingrédients. Préchauffez le four à 175 °C (thermostat 6). Graissez un plat carré de 20 cm de côté. Remplissez une grande casserole d'eau légèrement salée et portez à ébullition. Faites cuire les nouilles aux œufs à l'eau bouillante jusqu'à ce qu'elles soient tendres mais encore fermes sous la dent, pendant 7 à 9 minutes. Égouttez-les. Dans un grand bol, mélangez le fromage blanc, la crème fraîche, le sucre, les raisins secs, les œufs, le sel, la cannelle et la noix de muscade. Incorporez les nouilles cuites. Versez le tout dans le plat préparé. Faites cuire au four préchauffé, à découvert, jusqu'à ce que le dessus soit doré, environ 40 minutes.","['bouillir', 'cuire']","['plat à four', 'four', 'casserole']",https://www.allrecipes.com/recipe/285980/sweet-noodle-kugel/,364 kcal,"""{""""Carbohydrates"""": """"44 g"""", """"Cholesterol"""": """"121 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"15 g"""", """"Saturated Fat"""": """"8 g"""", """"Sodium"""": """"429 mg"""", """"Sugar"""": """"20 g"""", """"Fat"""": """"15 g"""", """"Unsaturated Fat"""": """"0 g""""}""",15.67
2816,Salade liégeoise,['Dîner'],"['Belge', 'Néerlandais']",Europe,20.0,25.0,12,3,"Mettez les pommes de terre dans une casserole et couvrez-les d'eau. Portez à ébullition et laissez cuire environ 10 minutes, jusqu'à ce qu'elles soient tendres. Portez une autre casserole d'eau à ébullition. Ajoutez les haricots verts et laissez cuire environ 5 minutes. Égouttez-les. Faites revenir le bacon dans une grande poêle à feu moyen jusqu'à ce qu'il soit croustillant. Retirez-le et réservez-le. Faites revenir les oignons dans la graisse du bacon jusqu'à ce qu'ils soient tendres et dorés. Retirez-les et réservez-les. Versez le vinaigre balsamique dans la poêle et remuez pour décoller les sucs de cuisson. Dans un grand saladier, mélangez les haricots verts, les pommes de terre, les oignons et le bacon. Arrosez de vinaigre balsamique et mélangez bien. Salez et poivrez.","['bouillir', 'frire']","['poêle', 'sauce', 'pot']",https://www.allrecipes.com/recipe/104396/liege-style-salad/,288 kcal,"""{""""Carbohydrates"""": """"27 g"""", """"Cholesterol"""": """"26 mg"""", """"Fiber"""": """"5 g"""", """"Protein"""": """"8 g"""", """"Saturated Fat"""": """"6 g"""", """"Sodium"""": """"335 mg"""", """"Sugar"""": """"8 g"""", """"Fat"""": """"17 g"""", """"Unsaturated Fat"""": """"0 g""""}""",28.83
2817,Pain aux carottes et aux graines de tournesol,"['Déjeuner', 'Goûter']",['Scandinave'],Europe,20.0,18.0,12,6,"Préchauffez le four à 175 °C (thermostat 6). Tapissez une plaque de cuisson de papier sulfurisé. Faites tiédir 250 ml de lait dans une grande casserole à feu doux pendant 3 à 5 minutes, jusqu'à ce qu'il atteigne la température ambiante. Retirez du feu et incorporez la levure jusqu'à dissolution complète. Ajoutez l'œuf, l'huile d'olive, le sucre et le sel. Incorporez la moitié de la farine dans la casserole. Ajoutez les carottes et les graines de tournesol. Incorporez le reste de la farine jusqu'à obtenir une pâte collante. Couvrez et laissez lever dans un endroit chaud pendant 30 minutes. Divisez la pâte en 12 morceaux et formez des petits pains. Disposez-les sur la plaque de cuisson préparée. Couvrez et laissez lever jusqu'à ce qu'ils soient gonflés, environ 15 minutes. Badigeonnez le dessus des petits pains avec 1 cuillère à soupe de lait. Faites cuire au four préchauffé jusqu'à ce qu'ils soient dorés, pendant 15 à 17 minutes.",['cuire'],"['casserole', 'four', 'plaque de cuisson']",https://www.allrecipes.com/recipe/257923/carrot-and-sunflower-seed-bread/,252 kcal,"""{""""Carbohydrates"""": """"39 g"""", """"Cholesterol"""": """"17 mg"""", """"Fiber"""": """"2 g"""", """"Protein"""": """"7 g"""", """"Saturated Fat"""": """"1 g"""", """"Sodium"""": """"217 mg"""", """"Sugar"""": """"3 g"""", """"Fat"""": """"7 g"""", """"Unsaturated Fat"""": """"0 g""""}""",49.1
2818,Gâteau au chocolat et à la Guinness®,['Dessert'],['Irlandais'],Europe,15.0,43.0,8,5,"Préchauffez le four à 175 °C (thermostat 6). Tapissez un moule à gâteau de 23 cm de diamètre de papier sulfurisé et graissez-le. Dans une grande casserole, mélangez la bière brune et le beurre à feu doux jusqu'à ce que le beurre soit fondu et que la bière soit brillante, pendant 3 à 5 minutes. Retirez la casserole du feu et incorporez le sucre et 175 g de cacao en poudre en fouettant jusqu'à dissolution complète et obtention d'une consistance lisse. Incorporez ensuite 125 ml de crème fraîche épaisse en fouettant. Ajoutez les œufs et l'extrait de vanille et mélangez bien. Incorporez progressivement le bicarbonate de soude à la farine en fouettant jusqu'à ce que la pâte épaississe et soit lisse, environ 5 minutes. Versez la pâte dans le moule préparé. Faites cuire au four préchauffé jusqu'à ce qu'un cure-dent inséré au centre du gâteau en ressorte propre, environ 40 minutes. Laissez refroidir le gâteau avant de servir, au moins 4 heures.",['cuire'],"['casserole', 'fouet', 'poêle', 'four']",https://www.allrecipes.com/recipe/256995/chocolate-and-guinness-cake/,617 kcal,"""{""""Carbohydrates"""": """"84 g"""", """"Cholesterol"""": """"115 mg"""", """"Fiber"""": """"4 g"""", """"Protein"""": """"8 g"""", """"Saturated Fat"""": """"18 g"""", """"Sodium"""": """"508 mg"""", """"Sugar"""": """"50 g"""", """"Fat"""": """"30 g"""", """"Unsaturated Fat"""": """"0 g""""}""",18.28
2819,Salade russe de saumon et de pommes de terre,['Déjeuner'],['Russe'],Europe,25.0,15.0,6,4,"Placez les œufs dans une casserole et couvrez-les d'eau froide. Portez à ébullition, puis retirez immédiatement du feu. Couvrez et laissez les œufs reposer dans l'eau chaude pendant 10 à 12 minutes. Retirez-les de l'eau chaude, laissez-les refroidir et écalez-les. Pendant la cuisson des œufs, placez les pommes de terre dans une casserole et couvrez-les d'eau. Portez à ébullition et laissez cuire pendant 10 à 15 minutes, ou jusqu'à ce qu'elles soient tendres. Retirez du feu, égouttez et réservez. Faites chauffer l'huile dans une poêle à feu moyen. Ajoutez les oignons et faites-les revenir jusqu'à ce qu'ils soient légèrement dorés et translucides, environ 10 minutes. Émiettez le saumon et répartissez-le au fond d'un plat à gratin en verre ou d'un plat de service. Répartissez les oignons revenus sur le saumon. Étalez délicatement un peu de mayonnaise sur les oignons. Recouvrez de pommes de terre et étalez suffisamment de mayonnaise pour humidifier la couche. Enfin, coupez les œufs en tranches et disposez-les sur les pommes de terre. Étalez de la mayonnaise sur les œufs et parsemez de persil haché. Si vous le souhaitez, vous pouvez réserver un peu d'œuf. Hacher et parsemer sur le dessus. Réfrigérer 1 heure avant de servir.",['bouillir'],"['casserole', 'plat à four', 'poêle']",https://www.allrecipes.com/recipe/60262/russian-salmon-and-potato-salad/,523 kcal,"""{""""Carbohydrates"""": """"22 g"""", """"Cholesterol"""": """"109 mg"""", """"Fiber"""": """"3 g"""", """"Protein"""": """"22 g"""", """"Saturated Fat"""": """"6 g"""", """"Sodium"""": """"508 mg"""", """"Sugar"""": """"3 g"""", """"Fat"""": """"39 g"""", """"Unsaturated Fat"""": """"0 g""""}""",20.39
2820,Soupe aux poivrons rouges et au fromage feta,[],['Européen'],Europe,10.0,15.0,4,3,"Dans un robot culinaire ou un blender, mixez les poivrons (avec le bouillon de poulet, l'ail, l'origan et le basilic) jusqu'à obtenir une consistance lisse. Versez le liquide dans une casserole et faites chauffer à feu doux. Laissez mijoter 5 minutes. Incorporez lentement la crème en fouettant et réchauffez. Servez dans des bols à soupe, sur un lit de feta émiettée. Parsemez de feta et d'origan frais.",['mijoter'],"['casserole', 'robot culinaire', 'mixeur', 'fouet']",https://www.allrecipes.com/recipe/68281/red-pepper-soup-with-feta-cheese/,295 kcal,"""{""""Carbohydrates"""": """"12 g"""", """"Cholesterol"""": """"100 mg"""", """"Fiber"""": """"0 g"""", """"Protein"""": """"5 g"""", """"Saturated Fat"""": """"17 g"""", """"Sodium"""": """"442 mg"""", """"Sugar"""": """"4 g"""", """"Fat"""": """"26 g"""", """"Unsaturated Fat"""": """"0 g""""}""",4.77
2821,Gâteau aux pommes irlandais,"['Dessert', 'Gâteau']",['Irlandais'],Europe,15.0,40.0,8,7,"Préchauffez le four à 175 °C (thermostat 6). Graissez un moule carré de 23 cm de côté. Mélangez la farine, le sucre et le sel dans un saladier. Incorporez les jaunes d'œufs, le beurre et le zeste de citron en battant jusqu'à obtenir une pâte homogène. Mélangez la compote de pommes, la cannelle et les clous de girofle dans un petit bol. Étalez la moitié de la pâte dans le moule préparé et répartissez le mélange à la compote de pommes sur la pâte. Recouvrez avec le reste de pâte. Faites cuire au four préchauffé jusqu'à ce que le gâteau soit doré, pendant 40 à 45 minutes.",['cuire'],"['four', 'poêle']",https://www.allrecipes.com/recipe/220471/irish-apple-cake/,490 kcal,"""{""""Carbohydrates"""": """"61 g"""", """"Cholesterol"""": """"138 mg"""", """"Fiber"""": """"2 g"""", """"Protein"""": """"6 g"""", """"Saturated Fat"""": """"15 g"""", """"Sodium"""": """"314 mg"""", """"Sugar"""": """"24 g"""", """"Fat"""": """"25 g"""", """"Unsaturated Fat"""": """"0 g""""}""",13.88
2822,Sandwichs Reuben au bœuf salé cuits à la mijoteuse,['Déjeuner'],['Irlandais'],Europe,20.0,425.0,6,5,"Déposez la choucroute avec son jus dans une mijoteuse et répartissez le bœuf salé par-dessus. Ajoutez la bière, l'oignon, l'ail et les épices à marinade autour et sur le bœuf salé. Laissez mijoter à feu doux jusqu'à ce que la viande soit très tendre, pendant 7 à 8 heures. Retirez le bœuf de la mijoteuse et laissez-le reposer 10 minutes. Égouttez et jetez l'excédent de liquide de la mijoteuse afin de pouvoir accéder facilement à la choucroute. Tranchez finement le bœuf salé perpendiculairement aux fibres. Préparez des tartines en superposant du bœuf salé, de la choucroute et des tranches de fromage suisse sur du pain de seigle. Réservez le reste du bœuf salé pour une autre utilisation. Placez les tartines dans un four grille-pain et faites-les griller jusqu'à ce que le fromage soit fondu, environ 5 minutes. Servez avec de la sauce Thousand Island.",['griller'],"['four', 'mijoteuse']",https://www.allrecipes.com/recipe/283282/slow-cooker-corned-beef-reuben-sandwiches/,617 kcal,"""{""""Carbohydrates"""": """"31 g"""", """"Cholesterol"""": """"139 mg"""", """"Fiber"""": """"4 g"""", """"Protein"""": """"32 g"""", """"Saturated Fat"""": """"15 g"""", """"Sodium"""": """"2101 mg"""", """"Sugar"""": """"8 g"""", """"Fat"""": """"39 g"""", """"Unsaturated Fat"""": """"0 g""""}""",39.59
2823,Chou et gnocchis,"['Dîner', 'Accompagnement']",['Polonais'],Europe,20.0,12.0,6,3,"Portez à ébullition une grande casserole d'eau légèrement salée. Faites cuire les gnocchis dans l'eau bouillante jusqu'à ce qu'ils remontent à la surface, 2 à 4 minutes. Faites fondre 2 cuillères à soupe de beurre et d'huile d'olive dans une cocotte en fonte à feu moyen-vif. Ajoutez l'oignon et faites-le revenir jusqu'à ce qu'il soit tendre, environ 5 minutes. Incorporez le chou, l'ail et les flocons de piment rouge. Salez et poivrez. Laissez cuire en remuant jusqu'à ce que le chou soit translucide mais encore croquant, 5 à 7 minutes. Mélangez les gnocchis cuits au chou. Parsemez de parmesan.",['bouillir'],"['cocotte hollandaise', 'four', 'pot']",https://www.allrecipes.com/recipe/259312/cabbage-and-gnocchi/,283 kcal,"""{""""Carbohydrates"""": """"29 g"""", """"Cholesterol"""": """"35 mg"""", """"Fiber"""": """"6 g"""", """"Protein"""": """"5 g"""", """"Saturated Fat"""": """"9 g"""", """"Sodium"""": """"180 mg"""", """"Sugar"""": """"8 g"""", """"Fat"""": """"18 g"""", """"Unsaturated Fat"""": """"0 g""""}""",19.68
2824,Cupcakes au chocolat et à la Guinness avec glaçage à la crème irlandaise,"['Dessert', 'Gâteau']",['Irlandais'],Europe,30.0,10.0,66,6,"Préchauffez le four à 175 °C (thermostat 6). Graissez 66 moules à mini-muffins ou garnissez-les de caissettes en papier. Préparez les cupcakes : faites fondre le beurre dans une casserole à feu doux. Ajoutez le cacao en poudre et fouettez jusqu’à obtenir une consistance lisse. Incorporez la bière et l’extrait de vanille. Retirez du feu et laissez refroidir 5 à 10 minutes. Tamisez la farine, le bicarbonate de soude, la levure chimique et le sel dans un grand bol. Incorporez le sucre. Ajoutez le mélange à la bière et remuez jusqu’à ce que le tout soit bien mélangé. Ajoutez les œufs et remuez jusqu’à ce qu’ils soient bien incorporés. Répartissez la pâte dans les moules à mini-muffins préparés, en les remplissant aux trois quarts. Faites cuire au four préchauffé jusqu’à ce que le dessus des cupcakes reprenne sa forme lorsqu’on appuie légèrement dessus, soit 10 à 11 minutes. Laissez refroidir dans les moules pendant 5 minutes, puis transférez sur une grille et laissez refroidir complètement, environ 20 minutes. Pendant ce temps, préparez le glaçage : battez le sucre glace et le beurre dans un bol à l’aide d’un batteur électrique. Ajoutez la liqueur de crème irlandaise, une cuillère à soupe à la fois, et battez jusqu’à obtenir une consistance lisse. Léger, moelleux et blanc, environ 10 minutes. Étalez le glaçage sur les cupcakes refroidis.",['cuire'],"['casserole', 'fouet', 'mixeur', 'four']",https://www.allrecipes.com/recipe/270360/chocolate-guinness-cupcakes-with-irish-cream-frosting/,132 kcal,"""{""""Carbohydrates"""": """"15 g"""", """"Cholesterol"""": """"26 mg"""", """"Fiber"""": """"0 g"""", """"Protein"""": """"1 g"""", """"Saturated Fat"""": """"5 g"""", """"Sodium"""": """"92 mg"""", """"Sugar"""": """"12 g"""", """"Fat"""": """"8 g"""", """"Unsaturated Fat"""": """"0 g""""}""",20.17
